gate_group,gate_id,subset,metric,baseline_value,refined_value,oracle_value,threshold_or_condition,pass,interpretation
primary,P1_profile_rmse,refinement_target,profile_depth_rmse_m_mean,0.0005095183510563877,0.00022038641318798514,7.848969549441313e-05,refined <= 0.98 * baseline,True,Profile RMSE must improve on the RBC-representable model-fail subset.
primary,P2_er_like,refinement_target,Er_like_error_mean,2.8001573937890787,0.9099413634161813,0.2892552233304937,refined <= 0.98 * baseline,True,Er-like error must improve with the same target subset.
primary,P3_projected_mask,refinement_target,IoU_mean_and_Dice_mean,IoU=0.3236014023399166; Dice=0.480524080842404,IoU=0.5785234653693038; Dice=0.709451842350591,IoU=0.8896647641172107; Dice=0.9408601046285133,IoU >= baseline + 0.01 and Dice >= baseline + 0.01,True,Projected mask metrics must both improve; no single metric substitution.
primary,P4_area_error,refinement_target,area_error_mean,2.344364540375331,0.45255619687089155,0.062442648122924875,"refined <= max(1.05 * baseline, baseline + 0.02)",True,Area error cannot worsen beyond the tolerance used in the 25.4 gate.
secondary,S1_rbc_like_control,rbc_like_smooth_pit,profile_rmse_and_Dice,rmse=0.0005011810231545006; Dice=0.49355620883261464,rmse=0.00016519893431601588; Dice=0.6897547432153187,not_applicable,rmse <= 1.05 * baseline and Dice >= baseline - 0.02,True,RBC-like control cannot collapse while non-RBC rows improve.
secondary,S2_shape_family_coverage,non_multi_non_rbc_refinement_target,per_shape_profile_rmse_mean,5 families,5,not_applicable,at least 4 of 5 families improve,True,Aggregate improvement must cover most non-multi shape families.
secondary,S3_forward_residual_alignment,refinement_target,forward_feature_residual_and_profile_rmse,residual=70.59442614894292; rmse=0.0005095183510563877,residual=0.5641050369556577; rmse=0.00022038641318798514,not_applicable,forward residual decreases and profile RMSE decreases,True,Forward residual gains must align with profile improvement.
failure,F1_nonphysical_params,all_refined_six_param_rows,parameter_bounds_and_profile_physics,0,0,not_applicable,zero nonphysical refined rows,True,All refined params must remain in declared R1 bounds with nonnegative profiles.
failure,F2_multi_pit_credit,multi_pit_two_component_surface_defect,success_accounting,16,negative_control_no_refinement,not_applicable,multi-pit excluded from RBC refinement success credit,True,Multi-pit remains a future component-set branch.
failure,F3_baseline_transition,repository_docs,CURRENT_BASELINE.md,unchanged_required,unchanged,not_applicable,CURRENT_BASELINE.md unchanged,True,25.5 is diagnostic only; no baseline transition is allowed.
