question,answer,evidence,decision
Did fusion improve total MAE?,True,0.667888 vs 20.77 0.678014,feature_fusion_total_not_curvature
Did fusion improve L/W/D?,False,2.030/1.807/0.957 mm vs 20.77 1.892/2.186/0.800,feature_fusion_total_not_curvature
Did fusion reach >=0.01 substantive curvature improvement?,False,0.194483 vs 20.77 0.201076; delta=-0.006592,feature_fusion_total_not_curvature
Did wLD improve?,False,0.217079 vs 20.77 0.209439,feature_fusion_total_not_curvature
Did wWD/wLW preserve 20.80 gains?,False,wWD 0.202304 vs 20.80 0.194797; wLW 0.164068 vs 20.80 0.166465,feature_fusion_total_not_curvature
Did projected mask remain stable?,True,Dice 0.866573 vs 20.77 0.847727,feature_fusion_total_not_curvature
Which feature set helped most?,FS_basic_physical,selected variant H3_curv_fusion_F0F1F2_w1p0; source=multi_seed,feature_fusion_total_not_curvature
Is fusion better than 20.77 neural?,False,total_delta=-0.010126; curvature_delta=-0.006592; dice_delta=0.018845,feature_fusion_total_not_curvature
Is fusion better than 20.80 feature-only?,False,total 0.667888 vs 0.695724; curvature 0.194483 vs 0.190304,feature_fusion_total_not_curvature
Next step,D_redefine_curvature_labels_output_representation,No baseline update; no CURRENT_BASELINE replacement.,feature_fusion_total_not_curvature
