scope,group_field,group_value,split,source_count,selected_topup_count,assembled_expected_count,target_count,pass,notes
total,row_count,all,all,96,144,240,240,True,assembled v2 target
split,split,train,train,64,96,160,160,True,v2 split quota
split,split,val,val,16,24,40,40,True,v2 split quota
split,split,test,test,16,24,40,40,True,v2 split quota
total,shape_type,internal_sphere,all,24,56,80,80,True,v2 total shape_type balance
total,shape_type,internal_ellipsoid,all,36,44,80,80,True,v2 total shape_type balance
total,shape_type,internal_cuboid,all,36,44,80,80,True,v2 total shape_type balance
total,burial_depth_level,shallow,all,24,36,60,60,True,v2 total burial_depth_level balance
total,burial_depth_level,medium,all,24,36,60,60,True,v2 total burial_depth_level balance
total,burial_depth_level,deep,all,24,36,60,60,True,v2 total burial_depth_level balance
total,burial_depth_level,deep_plus,all,24,36,60,60,True,v2 total burial_depth_level balance
total,size_level,small,all,32,48,80,80,True,v2 total size_level balance
total,size_level,medium,all,32,48,80,80,True,v2 total size_level balance
total,size_level,large,all,32,48,80,80,True,v2 total size_level balance
split,shape_type,internal_cuboid,train,24,29,53,53,True,v2 split hard quota
split,shape_type,internal_cuboid,val,6,7,13,13,True,v2 split hard quota
split,shape_type,internal_cuboid,test,6,8,14,14,True,v2 split hard quota
split,shape_type,internal_ellipsoid,train,24,29,53,53,True,v2 split hard quota
split,shape_type,internal_ellipsoid,val,6,8,14,14,True,v2 split hard quota
split,shape_type,internal_ellipsoid,test,6,7,13,13,True,v2 split hard quota
split,shape_type,internal_sphere,train,16,38,54,54,True,v2 split hard quota
split,shape_type,internal_sphere,val,4,9,13,13,True,v2 split hard quota
split,shape_type,internal_sphere,test,4,9,13,13,True,v2 split hard quota
split,burial_depth_level,deep,train,16,24,40,40,True,v2 split hard quota
split,burial_depth_level,deep,val,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,deep,test,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,deep_plus,train,16,24,40,40,True,v2 split hard quota
split,burial_depth_level,deep_plus,val,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,deep_plus,test,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,medium,train,16,24,40,40,True,v2 split hard quota
split,burial_depth_level,medium,val,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,medium,test,4,6,10,10,True,v2 split hard quota
split,burial_depth_level,shallow,train,16,24,40,40,True,v2 split hard quota
split,burial_depth_level,shallow,val,4,6,10,10,True,v2 split hard quota
